params_x,params_y,params_z,user_attrs_top-1
115.7,159.8,0.34,0.7578125
115.7,159.8,0.34,0.7578125
118.4,159.8,0.28,0.7578125
118.4,159.8,0.28,0.7578125
127.0,149.9,0.28,0.7578125
127.0,149.9,0.28,0.7578125
122.5,149.1,0.15,0.7578125
122.5,149.1,0.15,0.7578125
121.4,154.9,0.33,0.7578125
121.4,154.9,0.33,0.7578125
121.5,149.9,0.22,0.7578125
121.5,149.9,0.22,0.7578125
127.0,148.7,0.15,0.7578125
127.0,148.7,0.15,0.7578125
119.8,149.2,0.08,0.7578125
119.8,149.2,0.08,0.7578125
119.4,148.1,0.15,0.7578125
119.4,148.1,0.15,0.7578125
117.0,150.6,0.23,0.7578125
117.0,150.6,0.23,0.7578125
116.2,159.1,0.28,0.7578125
116.2,159.1,0.28,0.7578125
115.3,150.2,0.38,0.7578125
115.3,150.2,0.38,0.7578125
117.0,148.5,0.07,0.7578125
117.0,148.5,0.07,0.7578125
118.0,148.3,0.2,0.7578125
118.0,148.3,0.2,0.7578125
120.4,148.1,0.11,0.7578125
120.4,148.1,0.11,0.7578125
119.4,155.0,0.04,-1.0
119.4,155.0,0.04,-1.0
117.7,154.8,0.18,0.7578125
117.7,154.8,0.18,0.7578125
114.4,155.6,0.2,0.7578125
114.4,155.6,0.2,0.7578125
117.5,154.1,0.28,0.7578125
117.5,154.1,0.28,0.7578125
117.0,156.5,0.29,0.7578125
117.0,156.5,0.29,0.7578125
120.2,159.2,0.37,0.7578125
120.2,159.2,0.37,0.7578125
118.6,148.7,0.48,0.7578125
118.6,148.7,0.48,0.7578125
121.6,151.9,0.12,0.7578125
121.6,151.9,0.12,0.7578125
113.0,156.1,0.49,0.7578125
113.0,156.1,0.49,0.7578125
113.7,157.8,0.19,0.7578125
113.7,157.8,0.19,0.7578125
122.7,156.1,0.47000000000000003,-1.0
122.7,156.1,0.47000000000000003,-1.0
126.5,156.3,0.08,0.7578125
126.5,156.3,0.08,0.7578125
124.3,158.4,0.0,0.7578125
124.3,158.4,0.0,0.7578125
125.2,158.5,0.09,0.7578125
125.2,158.5,0.09,0.7578125
116.5,156.2,0.23,0.7578125
116.5,156.2,0.23,0.7578125
123.0,149.4,0.27,0.7578125
123.0,149.4,0.27,0.7578125
122.6,160.0,0.18,0.7578125
122.6,160.0,0.18,0.7578125
126.5,157.3,0.07,0.7578125
126.5,157.3,0.07,0.7578125
126.5,156.8,0.0,0.7578125
126.5,156.8,0.0,0.7578125
117.0,158.3,0.37,0.7578125
117.0,158.3,0.37,0.7578125
122.8,148.9,0.0,0.7578125
122.8,148.9,0.0,0.7578125
117.6,159.5,0.07,0.7578125
117.6,159.5,0.07,0.7578125
117.1,159.1,0.21,0.7578125
117.1,159.1,0.21,0.7578125
126.9,159.6,0.07,0.7578125
126.9,159.6,0.07,0.7578125
122.4,157.4,0.31,-1.0
122.4,157.4,0.31,-1.0
118.0,159.6,0.12,0.7578125
118.0,159.6,0.12,0.7578125
116.2,152.7,0.46,0.7578125
116.2,152.7,0.46,0.7578125
125.1,151.5,0.12,-1.0
125.1,151.5,0.12,0.7578125
115.5,158.9,0.15,0.7578125
115.5,158.9,0.15,0.7578125
115.7,160.0,0.26,0.7578125
115.7,160.0,0.26,0.7578125
119.9,159.9,0.11,0.7578125
119.9,159.9,0.11,0.7578125
126.4,153.3,0.41000000000000003,-1.0
126.4,153.3,0.41000000000000003,0.7578125
125.1,148.7,0.28,0.7578125
125.1,148.7,0.28,0.7578125
125.2,154.4,0.4,-1.0
125.2,154.4,0.4,-1.0
125.8,152.9,0.45,-1.0
125.8,152.9,0.45,0.7578125
122.3,148.2,0.21,0.7578125
122.3,148.2,0.21,0.7578125
126.7,154.3,0.42,0.7578125
126.7,154.3,0.42,0.7578125
118.4,148.5,0.0,0.7578125
118.4,148.5,0.0,0.7578125
119.3,156.0,0.46,-1.0
119.3,156.0,0.46,-1.0
125.7,155.7,0.44,0.7578125
125.7,155.7,0.44,0.7578125
114.3,160.0,0.1,0.7578125
114.3,160.0,0.1,0.7578125
122.2,157.2,0.21,-1.0
122.2,157.2,0.21,-1.0
119.9,154.1,0.24,0.7578125
119.9,154.1,0.24,0.7578125
122.0,153.4,0.3,0.7578125
122.0,153.4,0.3,0.7578125
119.7,154.3,0.36,0.7578125
119.7,154.3,0.36,0.7578125
122.1,155.5,0.32,0.7578125
122.1,155.5,0.32,0.7578125
113.5,157.5,0.38,0.7578125
113.5,157.5,0.38,0.7578125
114.8,151.6,0.36,0.7578125
114.8,151.6,0.36,0.7578125
115.8,155.1,0.27,0.7578125
115.8,155.1,0.27,0.7578125
119.6,158.3,0.46,0.7578125
119.6,158.3,0.46,0.7578125
126.6,157.8,0.02,0.7578125
126.6,157.8,0.02,0.7578125
117.8,149.5,0.13,0.7578125
117.8,149.5,0.13,0.7578125
125.8,155.1,0.5,0.7578125
125.8,155.1,0.5,0.7578125
126.5,154.0,0.24,-1.0
126.5,154.0,0.24,0.7578125
123.1,153.8,0.23,0.7578125
123.1,153.8,0.23,0.7578125
125.4,154.8,0.32,-1.0
125.4,154.8,0.32,-1.0
116.8,159.7,0.46,0.7578125
116.8,159.7,0.46,0.7578125
119.9,151.9,0.31,0.7578125
119.9,151.9,0.31,0.7578125
124.0,153.3,0.33,0.7578125
124.0,153.3,0.33,0.7578125
122.4,151.9,0.34,0.7578125
122.4,151.9,0.34,0.7578125
113.2,158.2,0.19,0.7578125
113.2,158.2,0.19,0.7578125
125.2,155.0,0.24,-1.0
125.2,155.0,0.24,-1.0
124.9,149.0,0.13,0.7578125
124.9,149.0,0.13,0.7578125
122.7,150.5,0.12,0.7578125
122.7,150.5,0.12,0.7578125
124.4,149.9,0.11,0.7578125
124.4,149.9,0.11,0.7578125
127.0,150.3,0.11,0.7578125
127.0,150.3,0.11,0.7578125
124.3,151.5,0.21,0.7578125
124.3,151.5,0.21,0.7578125
119.0,157.7,0.17,-1.0
119.0,157.7,0.17,-1.0
125.6,157.2,0.32,0.7578125
125.6,157.2,0.32,0.7578125
127.0,156.0,0.4,0.7578125
127.0,156.0,0.4,0.7578125
117.8,155.8,0.05,-1.0
117.8,155.8,0.05,-1.0
124.3,148.1,0.01,0.7578125
124.3,148.1,0.01,0.7578125
124.2,150.7,0.04,0.7578125
124.2,150.7,0.04,0.7578125
124.7,150.5,0.2,0.7578125
124.7,150.5,0.2,0.7578125
120.0,149.6,0.48,0.7578125
120.0,149.6,0.48,0.7578125
124.5,149.0,0.07,0.7578125
124.5,149.0,0.07,0.7578125
114.6,159.5,0.33,0.7578125
114.6,159.5,0.33,0.7578125
122.0,155.3,0.44,0.7578125
122.0,155.3,0.44,0.7578125
116.7,159.9,0.18,0.7578125
116.7,159.9,0.18,0.7578125
126.1,148.2,0.36,0.7578125
126.1,148.2,0.36,0.7578125
126.5,148.3,0.06,0.7578125
126.5,148.3,0.06,0.7578125
124.9,149.6,0.22,0.7578125
124.9,149.6,0.22,0.7578125
118.3,153.3,0.13,-1.0
118.3,153.3,0.13,-1.0
118.8,158.6,0.32,0.7578125
118.8,158.6,0.32,0.7578125
119.0,155.4,0.28,-1.0
119.0,155.4,0.28,-1.0
126.8,157.8,0.17,0.7578125
126.8,157.8,0.17,0.7578125
115.6,155.2,0.38,0.7578125
115.6,155.2,0.38,0.7578125
115.4,149.4,0.35000000000000003,0.7578125
115.4,149.4,0.35000000000000003,0.7578125
123.3,152.2,0.13,0.7578125
123.3,152.2,0.13,0.7578125
115.2,157.0,0.28,0.7578125
115.2,157.0,0.28,0.7578125
124.3,153.2,0.0,-1.0
124.3,153.2,0.0,-1.0
122.6,149.1,0.19,0.7578125
122.6,149.1,0.19,0.7578125
113.4,158.9,0.22,0.7578125
113.4,158.9,0.22,0.7578125
127.0,154.1,0.31,0.7578125
127.0,154.1,0.31,0.7578125
126.0,150.7,0.34,0.7578125
126.0,150.7,0.34,0.7578125
127.0,155.4,0.2,0.7578125
127.0,155.4,0.2,0.7578125
121.5,159.2,0.42,0.7578125
121.5,159.2,0.42,0.7578125
120.6,149.4,0.27,0.7578125
120.6,149.4,0.27,0.7578125
115.7,150.5,0.47000000000000003,0.7578125
115.7,150.5,0.47000000000000003,0.7578125
120.5,159.1,0.22,0.7578125
120.5,159.1,0.22,0.7578125
127.0,150.6,0.02,0.7578125
127.0,150.6,0.02,0.7578125
122.1,156.6,0.38,-1.0
122.1,156.6,0.38,-1.0
