params_x,params_y,params_z,params_voltage,user_attrs_top-1
125.0,155.5,0.15000000000000002,300,-1.0
125.0,155.5,0.30000000000000004,300,0.7578125
125.0,155.5,0.30000000000000004,300,0.7578125
121.0,156.0,0.05,250,0.7578125
121.0,156.0,0.05,250,0.7578125
127.0,156.0,0.2,300,0.7578125
127.0,156.0,0.2,300,0.7578125
122.5,159.0,0.15000000000000002,250,0.7578125
122.5,159.0,0.15000000000000002,250,0.7578125
120.5,156.5,0.0,300,0.1171875
120.5,156.5,0.0,300,0.7578125
120.5,156.5,0.0,300,0.7578125
120.5,156.5,0.0,300,0.7578125
120.5,156.5,0.0,300,0.1328125
120.5,156.5,0.0,300,0.7578125
120.5,156.5,0.0,300,0.7578125
120.5,156.5,0.0,300,0.7578125
120.0,157.5,0.1,300,0.7578125
120.0,157.5,0.1,300,0.7578125
122.5,155.0,0.05,300,0.7578125
122.5,155.0,0.05,300,0.7578125
119.5,156.0,0.2,350,0.7578125
119.5,156.0,0.2,350,0.7578125
124.0,158.0,0.30000000000000004,300,0.7578125
124.0,158.0,0.30000000000000004,300,0.7578125
124.5,154.5,0.2,300,0.7578125
124.5,154.5,0.2,300,0.75
124.5,154.5,0.2,300,-1.0
121.5,155.5,0.05,300,0.7578125
121.5,155.5,0.05,300,0.7578125
124.0,153.0,0.2,300,0.7578125
124.0,153.0,0.2,300,0.7578125
126.0,153.0,0.4,300,0.7578125
126.0,153.0,0.4,300,0.7578125
123.0,157.0,0.0,300,0.7578125
123.0,157.0,0.0,300,0.7578125
126.0,150.0,0.7000000000000001,200,0.7578125
126.0,150.0,0.7000000000000001,200,0.7578125
123.0,155.5,0.25,300,0.7578125
123.0,155.5,0.25,300,0.7578125
121.5,149.5,0.1,350,-1.0
121.5,149.5,0.1,350,-1.0
122.5,154.0,0.25,250,0.7578125
122.5,154.0,0.25,250,0.7578125
124.5,153.5,0.55,350,0.7578125
124.5,153.5,0.55,350,0.7578125
127.0,158.5,1.0,350,0.7578125
127.0,158.5,1.0,350,0.7578125
114.0,148.0,0.45,200,0.7578125
114.0,148.0,0.45,200,0.7578125
125.5,154.5,0.15000000000000002,250,0.7578125
125.5,154.5,0.15000000000000002,250,0.7578125
122.5,153.0,0.35000000000000003,300,0.7578125
122.5,153.0,0.35000000000000003,300,0.7578125
127.0,152.5,0.8,350,0.7578125
127.0,152.5,0.8,350,0.7578125
127.0,158.0,0.0,200,0.7578125
127.0,158.0,0.0,200,0.7578125
123.0,154.0,0.15000000000000002,350,0.7578125
123.0,154.0,0.15000000000000002,350,-1.0
120.5,153.5,0.35000000000000003,350,0.7578125
120.5,153.5,0.35000000000000003,350,0.7578125
119.5,154.5,0.0,300,0.75
119.5,154.5,0.0,300,0.7578125
119.5,154.5,0.0,300,-1.0
