params_x,params_y,params_z,params_voltage,user_attrs_top-1
122.5,155.6,0.22,300,0.7578125
122.5,155.6,0.22,300,0.7578125
124.60000000000001,156.7,0.79,300,0.7578125
124.60000000000001,156.7,0.79,300,0.7578125
122.80000000000001,155.2,0.2,300,0.1171875
122.80000000000001,155.2,0.2,300,-1.0
122.80000000000001,155.2,0.2,300,0.7578125
122.80000000000001,155.2,0.2,300,0.7578125
122.80000000000001,155.2,0.2,300,0.7578125
123.10000000000001,157.1,0.66,300,0.7578125
123.10000000000001,157.1,0.66,300,0.7578125
122.5,155.0,0.38,350,0.7421875
122.5,155.0,0.38,350,0.7578125
122.5,155.0,0.38,350,0.75
122.5,155.0,0.38,350,0.7578125
122.9,155.29999999999998,0.12,250,0.7578125
122.9,155.29999999999998,0.12,250,0.1484375
122.9,155.29999999999998,0.12,250,0.7578125
122.9,155.29999999999998,0.12,250,0.7578125
122.9,155.29999999999998,0.12,250,0.7578125
122.10000000000001,154.4,0.22,350,-1.0
122.10000000000001,154.4,0.22,350,0.7578125
123.10000000000001,155.2,0.24,300,0.7578125
123.10000000000001,155.2,0.24,300,0.7578125
122.9,155.7,0.35000000000000003,350,0.7578125
122.9,155.7,0.35000000000000003,350,0.7578125
122.7,154.79999999999998,0.47000000000000003,350,0.7578125
122.7,154.79999999999998,0.47000000000000003,350,0.7578125
122.7,155.79999999999998,0.23,250,0.7578125
122.7,155.79999999999998,0.23,250,0.7578125
122.30000000000001,155.5,0.03,300,0.7578125
122.30000000000001,155.5,0.03,300,-1.0
121.4,155.4,0.54,350,0.7578125
121.4,155.4,0.54,350,0.7578125
123.2,154.9,0.23,250,-1.0
123.2,154.9,0.23,250,0.7578125
122.30000000000001,155.2,0.5,250,0.7578125
122.30000000000001,155.2,0.5,250,0.7578125
123.0,154.79999999999998,0.16,300,0.75
123.0,154.79999999999998,0.16,300,0.7578125
123.0,154.79999999999998,0.16,300,0.7578125
122.0,154.6,0.08,250,0.7578125
122.0,154.6,0.08,250,0.7578125
123.7,155.29999999999998,0.17,300,0.7578125
123.7,155.29999999999998,0.17,300,0.7578125
122.80000000000001,155.2,0.07,350,0.7578125
122.80000000000001,155.2,0.07,350,-1.0
123.2,155.4,0.38,300,0.7578125
123.2,155.4,0.38,300,0.7578125
122.7,155.1,0.25,350,0.7578125
122.7,155.1,0.25,350,-1.0
124.80000000000001,153.6,0.8,300,0.7578125
124.80000000000001,153.6,0.8,300,0.7578125
123.2,155.0,0.11,150,0.7578125
123.2,155.0,0.11,150,0.7578125
123.0,155.2,0.0,250,0.7578125
123.0,155.2,0.0,250,0.7578125
124.60000000000001,156.79999999999998,0.21,350,0.7421875
124.60000000000001,156.79999999999998,0.21,350,-1.0
124.60000000000001,156.79999999999998,0.21,350,0.7578125
124.10000000000001,156.5,0.2,350,-1.0
124.10000000000001,156.5,0.2,350,-1.0
123.80000000000001,156.6,0.35000000000000003,350,0.7578125
123.80000000000001,156.6,0.35000000000000003,350,0.7578125
