params_x,params_y,user_attrs_top-1
117.5,148.0,0.7578125
117.5,148.0,0.7578125
119.0,157.5,-1.0
119.0,157.5,-1.0
126.5,150.5,0.7578125
126.5,150.5,0.7578125
123.0,155.0,-1.0
123.0,155.0,-1.0
115.0,153.0,0.7578125
115.0,153.0,0.7578125
115.0,155.0,0.7578125
115.0,155.0,0.7578125
123.0,152.5,-1.0
123.0,152.5,-1.0
127.0,157.5,0.7578125
127.0,157.5,0.7578125
118.5,150.5,0.7578125
118.5,150.5,0.7578125
118.0,160.0,0.7578125
118.0,160.0,0.7578125
124.0,148.0,0.7578125
124.0,148.0,0.7578125
120.0,156.0,-1.0
120.0,156.0,-1.0
114.5,152.0,0.7578125
114.5,152.0,0.7578125
113.5,158.0,0.7578125
113.5,158.0,0.7578125
121.0,149.5,0.7578125
121.0,149.5,0.7578125
124.5,154.0,-1.0
124.5,154.0,-1.0
117.0,153.5,-1.0
117.0,153.5,0.7578125
119.5,157.0,-1.0
119.5,157.0,-1.0
126.0,151.5,0.7578125
126.0,151.5,0.7578125
122.5,159.5,0.7578125
122.5,159.5,0.7578125
115.5,149.0,0.7578125
115.5,149.0,0.7578125
115.5,158.5,0.7578125
115.5,158.5,0.7578125
122.5,150.0,0.7578125
122.5,150.0,0.7578125
126.0,154.5,-1.0
126.0,154.5,0.7578125
119.5,154.0,0.7578125
119.5,154.0,0.7578125
117.0,156.5,0.7578125
117.0,156.5,0.7578125
124.5,151.0,0.7578125
124.5,151.0,0.7578125
121.0,159.0,0.7578125
121.0,159.0,0.7578125
113.5,148.5,0.7578125
113.5,148.5,0.7578125
114.5,155.5,0.7578125
114.5,155.5,0.7578125
120.0,153.0,-1.0
120.0,153.0,-1.0
124.0,157.5,0.7578125
124.0,157.5,0.7578125
118.0,150.5,0.7578125
118.0,150.5,0.7578125
118.0,160.0,0.7578125
118.0,160.0,0.7578125
127.0,148.0,0.7578125
127.0,148.0,0.7578125
